model-1585468409,1585468409.388,0.45,0.2508,0.5,0.2527
model-1585468409,1585468409.429,0.51,0.2482,0.48,0.2528
model-1585468409,1585468409.454,0.49,0.2528,0.54,0.2492
model-1585468409,1585468409.481,0.48,0.2505,0.41,0.2547
model-1585468409,1585468409.504,0.46,0.2519,0.39,0.2527
model-1585468409,1585468409.526,0.6,0.248,0.43,0.2523
model-1585468409,1585468409.548,0.46,0.2514,0.52,0.2496
model-1585468409,1585468409.583,0.51,0.2499,0.48,0.2501
model-1585468409,1585468409.609,0.49,0.2502,0.51,0.2496
model-1585468409,1585468409.646,0.61,0.249,0.53,0.2493
model-1585468409,1585468409.668,0.46,0.2503,0.61,0.2485
model-1585468409,1585468409.69,0.47,0.2493,0.52,0.2489
model-1585468409,1585468409.712,0.52,0.2491,0.54,0.2497
model-1585468409,1585468409.733,0.48,0.2486,0.6,0.2495
model-1585468409,1585468409.754,0.58,0.2491,0.48,0.2476
model-1585468409,1585468409.774,0.49,0.2493,0.53,0.2489
model-1585468409,1585468409.794,0.59,0.246,0.51,0.2494
model-1585468409,1585468409.818,0.42,0.2567,0.5,0.2506
model-1585468409,1585468409.842,0.49,0.2512,0.51,0.2491
model-1585468409,1585468409.867,0.45,0.2501,0.52,0.2503
model-1585468409,1585468409.889,0.55,0.2442,0.47,0.2545
model-1585468409,1585468409.91,0.57,0.2441,0.53,0.2455
model-1585468409,1585468409.932,0.51,0.2503,0.51,0.2551
model-1585468409,1585468409.955,0.46,0.2503,0.51,0.2475
model-1585468409,1585468409.977,0.52,0.2369,0.44,0.2546
model-1585468409,1585468409.999,0.43,0.2553,0.58,0.2429
model-1585468409,1585468410.021,0.54,0.25,0.62,0.2485
model-1585468409,1585468410.043,0.58,0.2464,0.55,0.2499
model-1585468409,1585468410.066,0.63,0.2447,0.53,0.2472
model-1585468409,1585468410.087,0.67,0.2428,0.52,0.2494
model-1585468409,1585468410.109,0.63,0.2407,0.46,0.2528
model-1585468409,1585468410.13,0.5,0.2549,0.54,0.2446
model-1585468409,1585468410.152,0.47,0.2491,0.56,0.2439
model-1585468409,1585468410.179,0.56,0.245,0.53,0.2497
model-1585468409,1585468410.2,0.5,0.2488,0.5,0.2432
model-1585468409,1585468410.221,0.57,0.2434,0.51,0.2452
model-1585468409,1585468410.242,0.55,0.2482,0.56,0.2437
model-1585468409,1585468410.264,0.53,0.2385,0.46,0.2467
model-1585468409,1585468410.286,0.55,0.2396,0.51,0.2491
model-1585468409,1585468410.314,0.43,0.2609,0.5,0.2581
model-1585468409,1585468410.354,0.58,0.2419,0.43,0.2508
model-1585468409,1585468410.397,0.48,0.2297,0.54,0.2451
model-1585468409,1585468410.428,0.51,0.2441,0.55,0.2487
model-1585468409,1585468410.47,0.53,0.2435,0.57,0.2483
model-1585468409,1585468410.51,0.52,0.2571,0.55,0.2425
model-1585468409,1585468410.552,0.55,0.2577,0.62,0.2418
model-1585468409,1585468410.585,0.5,0.2525,0.55,0.2433
model-1585468409,1585468410.625,0.49,0.2583,0.53,0.2464
model-1585468409,1585468410.655,0.44,0.2517,0.54,0.2494
model-1585468409,1585468410.676,0.54,0.2473,0.52,0.248
model-1585468409,1585468410.697,0.43,0.2497,0.44,0.2517
model-1585468409,1585468410.718,0.55,0.2464,0.51,0.25
model-1585468409,1585468410.739,0.6,0.2443,0.42,0.2518
model-1585468409,1585468410.76,0.58,0.2457,0.48,0.2503
model-1585468409,1585468410.784,0.56,0.2479,0.59,0.2454
model-1585468409,1585468410.816,0.51,0.2488,0.52,0.2513
model-1585468409,1585468410.853,0.55,0.2474,0.51,0.2518
model-1585468409,1585468410.895,0.48,0.252,0.51,0.2497
model-1585468409,1585468410.936,0.56,0.2458,0.62,0.2443
model-1585468409,1585468410.97,0.56,0.247,0.54,0.2432
model-1585468409,1585468411.013,0.53,0.246,0.55,0.2479
model-1585468409,1585468411.056,0.51,0.2487,0.56,0.2417
model-1585468409,1585468411.097,0.64,0.2416,0.57,0.2488
model-1585468409,1585468411.126,0.5,0.2514,0.53,0.2456
model-1585468409,1585468411.148,0.52,0.2502,0.47,0.2517
model-1585468409,1585468411.169,0.54,0.2435,0.53,0.2467
model-1585468409,1585468411.189,0.57,0.2489,0.4,0.2541
model-1585468409,1585468411.21,0.57,0.2479,0.53,0.2472
model-1585468409,1585468411.231,0.61,0.2376,0.48,0.2466
model-1585468409,1585468411.252,0.49,0.245,0.53,0.2514
model-1585468409,1585468411.273,0.53,0.2427,0.54,0.2465
model-1585468409,1585468411.293,0.58,0.2371,0.52,0.2508
model-1585468409,1585468411.314,0.57,0.2392,0.55,0.2395
model-1585468409,1585468411.335,0.6,0.241,0.53,0.2387
model-1585468409,1585468411.357,0.54,0.2452,0.54,0.2518
model-1585468409,1585468411.378,0.59,0.242,0.55,0.2481
model-1585468409,1585468411.399,0.51,0.2539,0.47,0.2495
model-1585468409,1585468411.42,0.5,0.2487,0.57,0.2411
model-1585468409,1585468411.442,0.58,0.2338,0.51,0.2537
model-1585468409,1585468411.465,0.57,0.25,0.53,0.2504
model-1585468409,1585468411.486,0.6,0.256,0.46,0.2515
model-1585468409,1585468411.508,0.45,0.2633,0.55,0.2443
model-1585468409,1585468411.529,0.49,0.2495,0.51,0.2448
model-1585468409,1585468411.551,0.56,0.2411,0.51,0.2386
model-1585468409,1585468411.573,0.54,0.244,0.52,0.242
model-1585468409,1585468411.594,0.59,0.2301,0.56,0.251
model-1585468409,1585468411.615,0.53,0.2451,0.51,0.2542
model-1585468409,1585468411.636,0.6,0.243,0.46,0.2617
model-1585468409,1585468411.658,0.52,0.2432,0.52,0.2461
model-1585468409,1585468411.68,0.47,0.2474,0.51,0.245
model-1585468409,1585468411.7,0.49,0.2551,0.51,0.244
model-1585468409,1585468411.721,0.53,0.2509,0.52,0.2516
model-1585468409,1585468411.743,0.58,0.2401,0.45,0.2509
model-1585468409,1585468411.767,0.49,0.2589,0.49,0.251
model-1585468409,1585468411.789,0.58,0.236,0.56,0.2388
model-1585468409,1585468411.81,0.49,0.2416,0.52,0.2449
model-1585468409,1585468411.831,0.53,0.24,0.57,0.2437
model-1585468409,1585468411.853,0.52,0.2482,0.6,0.2437
model-1585468409,1585468411.876,0.45,0.2559,0.52,0.2512
model-1585468409,1585468411.898,0.5,0.2505,0.57,0.2455
model-1585468409,1585468411.92,0.54,0.2405,0.48,0.2453
model-1585468409,1585468411.941,0.61,0.2527,0.56,0.2482
model-1585468409,1585468411.963,0.58,0.2477,0.5,0.2489
model-1585468409,1585468411.984,0.52,0.2451,0.53,0.2419
model-1585468409,1585468412.006,0.56,0.2463,0.47,0.252
model-1585468409,1585468412.027,0.48,0.2504,0.48,0.2465
model-1585468409,1585468412.048,0.47,0.2489,0.56,0.2456
model-1585468409,1585468412.069,0.58,0.2485,0.66,0.2383
model-1585468409,1585468412.092,0.52,0.2484,0.5,0.2474
model-1585468409,1585468412.116,0.49,0.2481,0.52,0.2488
model-1585468409,1585468412.137,0.61,0.2437,0.5,0.2514
model-1585468409,1585468412.157,0.57,0.2483,0.53,0.2488
model-1585468409,1585468412.178,0.56,0.244,0.63,0.2445
model-1585468409,1585468412.2,0.48,0.2512,0.63,0.2437
model-1585468409,1585468412.221,0.57,0.2448,0.51,0.2497
model-1585468409,1585468412.242,0.54,0.2439,0.62,0.2419
model-1585468409,1585468412.262,0.57,0.2473,0.59,0.2377
model-1585468409,1585468412.283,0.52,0.2469,0.48,0.2478
model-1585468409,1585468412.305,0.53,0.2469,0.57,0.2423
model-1585468409,1585468412.326,0.54,0.2456,0.44,0.2515
model-1585468409,1585468412.347,0.53,0.244,0.51,0.2476
model-1585468409,1585468412.367,0.51,0.2491,0.47,0.2461
model-1585468409,1585468412.388,0.51,0.2478,0.62,0.2388
model-1585468409,1585468412.409,0.51,0.2466,0.53,0.2467
model-1585468409,1585468412.432,0.6,0.2398,0.58,0.2423
model-1585468409,1585468412.452,0.54,0.2396,0.53,0.2482
model-1585468409,1585468412.473,0.57,0.2482,0.53,0.2533
model-1585468409,1585468412.493,0.51,0.2531,0.57,0.2538
model-1585468409,1585468412.515,0.52,0.2504,0.63,0.2317
model-1585468409,1585468412.537,0.63,0.2388,0.49,0.2539
model-1585468409,1585468412.557,0.61,0.2279,0.55,0.2513
model-1585468409,1585468412.578,0.55,0.2411,0.57,0.2399
model-1585468409,1585468412.598,0.57,0.2403,0.52,0.251
model-1585468409,1585468412.62,0.59,0.2233,0.56,0.2525
model-1585468409,1585468412.641,0.61,0.2332,0.52,0.2555
model-1585468409,1585468412.662,0.58,0.2359,0.53,0.25
model-1585468409,1585468412.683,0.61,0.2287,0.58,0.2413
model-1585468409,1585468412.704,0.56,0.2496,0.56,0.2425
model-1585468409,1585468412.726,0.52,0.2328,0.61,0.2574
model-1585468409,1585468412.748,0.63,0.2421,0.57,0.2416
model-1585468409,1585468412.768,0.51,0.249,0.54,0.2541
model-1585468409,1585468412.788,0.63,0.2385,0.58,0.2485
model-1585468409,1585468412.809,0.52,0.2667,0.61,0.2319
model-1585468409,1585468412.83,0.63,0.2167,0.55,0.2489
model-1585468409,1585468412.851,0.57,0.2265,0.62,0.2384
model-1585468409,1585468412.872,0.66,0.2283,0.52,0.2425
model-1585468409,1585468412.892,0.52,0.2479,0.64,0.2392
model-1585468409,1585468412.912,0.55,0.2539,0.54,0.2402
model-1585468409,1585468412.934,0.6,0.2365,0.58,0.2465
model-1585468409,1585468412.955,0.62,0.234,0.54,0.2444
model-1585468409,1585468412.975,0.59,0.2392,0.56,0.2466
model-1585468409,1585468412.996,0.53,0.248,0.58,0.2352
model-1585468409,1585468413.016,0.57,0.2365,0.56,0.252
model-1585468409,1585468413.037,0.6,0.2337,0.57,0.2433
model-1585468409,1585468413.059,0.5,0.2511,0.59,0.2335
model-1585468409,1585468413.079,0.61,0.2404,0.55,0.2413
model-1585468409,1585468413.1,0.54,0.2484,0.55,0.2463
model-1585468409,1585468413.12,0.57,0.2406,0.58,0.2487
model-1585468409,1585468413.141,0.59,0.2426,0.61,0.244
model-1585468409,1585468413.172,0.63,0.2388,0.55,0.2387
model-1585468409,1585468413.192,0.59,0.231,0.46,0.2479
model-1585468409,1585468413.213,0.5,0.243,0.59,0.2566
model-1585468409,1585468413.234,0.54,0.2391,0.59,0.2421
model-1585468409,1585468413.256,0.54,0.2348,0.49,0.2452
model-1585468409,1585468413.278,0.58,0.2453,0.52,0.2557
model-1585468409,1585468413.298,0.49,0.247,0.58,0.2396
model-1585468409,1585468413.319,0.63,0.2214,0.5,0.244
model-1585468409,1585468413.34,0.57,0.2454,0.54,0.2565
model-1585468409,1585468413.362,0.61,0.2267,0.61,0.2394
model-1585468409,1585468413.384,0.56,0.2463,0.6,0.241
model-1585468409,1585468413.404,0.59,0.2469,0.56,0.2379
model-1585468409,1585468413.426,0.66,0.2205,0.66,0.232
model-1585468409,1585468413.446,0.61,0.2256,0.58,0.2314
model-1585468409,1585468413.468,0.51,0.2531,0.53,0.2465
model-1585468409,1585468413.489,0.64,0.2236,0.54,0.2459
model-1585468409,1585468413.51,0.68,0.2273,0.58,0.2387
model-1585468409,1585468413.531,0.56,0.2477,0.51,0.2685
model-1585468409,1585468413.551,0.49,0.2599,0.56,0.2423
model-1585468409,1585468413.573,0.58,0.2457,0.56,0.2443
model-1585468409,1585468413.595,0.57,0.2395,0.64,0.2364
model-1585468409,1585468413.616,0.64,0.2204,0.59,0.2342
model-1585468409,1585468413.637,0.71,0.2222,0.64,0.2312
model-1585468409,1585468413.657,0.54,0.2454,0.58,0.2417
model-1585468409,1585468413.68,0.57,0.2415,0.57,0.2464
model-1585468409,1585468413.701,0.61,0.2341,0.62,0.2259
model-1585468409,1585468413.722,0.56,0.2408,0.68,0.2259
model-1585468409,1585468413.743,0.66,0.2431,0.62,0.2342
model-1585468409,1585468413.763,0.67,0.2333,0.49,0.2441
model-1585468409,1585468413.785,0.67,0.222,0.67,0.2319
model-1585468409,1585468413.807,0.74,0.2098,0.63,0.2191
model-1585468409,1585468413.828,0.53,0.2411,0.69,0.2282
model-1585468409,1585468413.848,0.62,0.2233,0.65,0.2231
model-1585468409,1585468413.869,0.58,0.2348,0.58,0.2451
model-1585468409,1585468413.89,0.65,0.229,0.55,0.2525
model-1585468409,1585468413.913,0.61,0.2284,0.59,0.244
model-1585468409,1585468413.933,0.6,0.2287,0.53,0.2571
model-1585468409,1585468413.954,0.56,0.2315,0.67,0.226
model-1585468409,1585468413.974,0.69,0.2122,0.63,0.24
model-1585468409,1585468413.997,0.64,0.2406,0.6,0.2331
model-1585468409,1585468414.018,0.71,0.2031,0.68,0.2213
model-1585468409,1585468414.038,0.61,0.2399,0.63,0.2312
model-1585468409,1585468414.059,0.64,0.2202,0.6,0.2503
model-1585468409,1585468414.08,0.57,0.2568,0.53,0.2526
model-1585468409,1585468414.102,0.68,0.2187,0.7,0.21
model-1585468409,1585468414.124,0.68,0.208,0.74,0.2059
model-1585468409,1585468414.144,0.53,0.2476,0.55,0.2505
model-1585468409,1585468414.165,0.63,0.2344,0.61,0.2502
model-1585468409,1585468414.186,0.69,0.2008,0.7,0.2127
model-1585468409,1585468414.207,0.58,0.2575,0.61,0.2228
model-1585468409,1585468414.229,0.61,0.2355,0.63,0.2204
model-1585468409,1585468414.25,0.53,0.2418,0.6,0.2536
model-1585468409,1585468414.27,0.68,0.2122,0.67,0.2172
model-1585468409,1585468414.291,0.61,0.2399,0.62,0.2375
model-1585468409,1585468414.314,0.63,0.2264,0.63,0.2265
model-1585468409,1585468414.335,0.68,0.2206,0.66,0.2179
model-1585468409,1585468414.356,0.58,0.2363,0.6,0.2402
model-1585468409,1585468414.376,0.59,0.2356,0.62,0.2337
model-1585468409,1585468414.397,0.61,0.2342,0.55,0.2371
model-1585468409,1585468414.42,0.53,0.2558,0.66,0.2259
model-1585468409,1585468414.442,0.61,0.2252,0.65,0.2266
model-1585468409,1585468414.463,0.7,0.2069,0.65,0.2187
model-1585468409,1585468414.483,0.62,0.2346,0.62,0.2234
model-1585468409,1585468414.504,0.61,0.2267,0.6,0.2326
model-1585468409,1585468414.526,0.61,0.2339,0.68,0.2136
model-1585468409,1585468414.542,0.63,0.2248,0.65,0.2246
model-1585468409,1585468414.564,0.66,0.2142,0.66,0.2321
model-1585468409,1585468414.599,0.69,0.2037,0.64,0.2214
model-1585468409,1585468414.62,0.62,0.2324,0.69,0.2081
model-1585468409,1585468414.641,0.65,0.2191,0.71,0.2092
