file,prediction_butterfly,prediction_cat,prediction_cavallo,prediction_chicken,prediction_cow,prediction_elephant,prediction_horse,prediction_sheep,prediction_spider,prediction_squirrel,class,class_name
"('butterfly/OIP--04ndbWy7I04gsPgu9qOeQHaHs.jpeg', 'butterfly')",0.99981934,2.2505148e-05,1.9659246e-06,1.4207687e-05,4.6621743e-05,1.8239282e-06,2.9987452e-05,1.1362209e-06,6.1526975e-05,8.154964e-07,0,butterfly
"('butterfly/OIP--3xxJkezSkNzxrQaxlhv-QHaHa.jpeg', 'butterfly')",0.99998903,5.4668995e-08,6.7532216e-07,2.3945321e-07,8.481362e-08,1.3543738e-08,1.8559362e-08,2.384605e-09,9.892208e-06,1.3618618e-09,0,butterfly
"('butterfly/OIP--4zW12JF-JpwKcDtEK7thgHaLC.jpeg', 'butterfly')",0.9999999,5.6440683e-09,8.957615e-09,5.0344985e-11,8.170714e-13,1.2847578e-11,2.2319509e-10,3.924511e-13,1.6071382e-07,5.1280015e-11,0,butterfly
"('butterfly/OIP--7K5JzW1ZEmrY2YRyVjFCQHaE7.jpeg', 'butterfly')",1.0,1.5609236e-16,3.8145644e-20,1.4764022e-19,6.101886e-22,1.906461e-22,6.541681e-20,1.05951924e-23,3.2773812e-14,3.6452723e-21,0,butterfly
"('butterfly/OIP--8RSoaU1iEvZhemy7FlYegHaD9.jpeg', 'butterfly')",0.9999542,3.661323e-08,7.0157415e-11,4.6154883e-10,1.3732357e-10,6.946025e-11,7.046671e-10,2.0720583e-11,4.575378e-05,1.6365512e-09,0,butterfly
"('butterfly/OIP--BwCcfYAvrI0U8yYgWplXwHaF1.jpeg', 'butterfly')",1.0,2.8123184e-09,1.0476599e-10,3.1460445e-09,3.4946763e-13,5.7541172e-12,7.013146e-11,6.174135e-13,2.1137595e-08,4.1638946e-11,0,butterfly
"('butterfly/OIP--CDKKVE9j_HyFGxf8DAV7wHaJQ.jpeg', 'butterfly')",0.9865556,1.2436578e-05,1.9518692e-08,9.532231e-07,5.5296237e-08,1.542089e-07,3.7033809e-07,4.835594e-09,0.013430429,1.7327997e-08,0,butterfly
"('butterfly/OIP--ENWG-ez2NKhOnDxPMCeQAHaEA.jpeg', 'butterfly')",0.9727571,6.058137e-06,2.059516e-07,1.4529104e-06,2.2835266e-08,4.0782147e-09,8.088287e-08,2.1769912e-08,0.027235063,8.204584e-09,0,butterfly
"('butterfly/OIP--Mpfd_ozZWI-BuFQkizVrwHaFj.jpeg', 'butterfly')",0.9999999,1.2322571e-10,5.926906e-12,2.094153e-11,7.892592e-13,4.472479e-13,1.1419373e-12,1.4758999e-13,1.5003793e-07,8.8174433e-13,0,butterfly
"('butterfly/OIP--MyP_OSXxDXRp6GD5Pci0wHaGS.jpeg', 'butterfly')",1.0,2.2208996e-08,2.240961e-13,1.0264609e-12,8.387827e-15,2.5181808e-14,1.1666387e-12,3.3417313e-16,1.7199959e-08,2.0389818e-14,0,butterfly
"('butterfly/OIP--RuA1gbd_7OnfNia4Ao5aQAAAA.jpeg', 'spider')",0.021722155,0.00077618746,0.0012180484,0.00022382388,0.00017286139,0.00034197894,0.00040456207,2.7116146e-05,0.975083,3.0229252e-05,8,spider
