prediction_airplane,prediction_automobile,prediction_bird,prediction_cat,prediction_deer,prediction_dog,prediction_frog,prediction_horse,prediction_ship,prediction_truck,class_index,class_name
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,ship
0.0,2.7315376e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,ship
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,airplane
0.0,5.479014e-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,frog
1.9650748e-28,0.9999999,0.0,6.971125e-14,0.0,1.0229265e-21,8.766655e-08,0.0,0.0,4.5922857e-26,1,automobile
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,automobile
0.0,5.8791665e-09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,frog
0.0,0.0,0.0,1.0,0.0,4.515262e-19,0.0,0.0,0.0,0.0,3,cat
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,automobile
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,airplane
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,truck
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,horse
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,truck
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,ship
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,horse
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,ship
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,frog
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1785095e-13,1,automobile
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,airplane
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,bird
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,truck
0.0,0.0,0.0,4.802369e-33,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
0.0,0.0,1.0,1.3546044e-36,0.0,0.0,0.0,0.0,0.0,0.0,2,bird
0.0,8.030821e-29,2.1648147e-38,2.3913157e-18,0.0,1.0,0.0,1.3469625e-14,0.0,0.0,5,dog
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,airplane
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,truck
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,frog
0.0,5.0349402e-30,0.0,6.608669e-37,0.0,0.0,1.0,0.0,0.0,6.787368e-35,6,frog
2.546358e-38,0.0,0.8748202,4.925866e-23,0.0,0.1251798,0.0,0.0,0.0,0.0,2,bird
2.0756597e-28,0.0,1.0,0.0,0.0,7.667476e-37,0.0,0.0,7.2489754e-33,0.0,2,bird
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,truck
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.935671e-37,0.0,1,automobile
0.0,2.5682546e-36,4.2547096e-34,0.0,5.151937e-32,6.015321e-11,0.0,1.0,0.0,0.0,7,horse
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,automobile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,truck
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
1.0,0.0,4.857648e-31,0.0,6.1394204e-25,0.0,0.0,0.0,0.0,0.0,0,airplane
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,frog
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
0.0,2.2538568e-34,1.06804836e-32,2.913581e-35,0.0,0.0,1.0,0.0,0.0,0.0,6,frog
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,automobile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,truck
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,cat
0.0,3.3881014e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,truck
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,horse
1.1432886e-12,1.0,0.0,0.0,0.0,0.0,1.286934e-29,0.0,7.828083e-35,6.5932546e-23,1,automobile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,truck
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,ship
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7084665e-32,0,airplane
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,ship
1.0,3.4995812e-38,0.0,0.0,0.0,0.0,0.0,0.0,1.2946227e-10,0.0,0,airplane
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,horse
0.0002594392,0.99581677,0.0,9.870859e-12,0.0,8.687188e-17,9.497875e-38,8.434706e-38,0.003923829,3.2284127e-36,1,automobile
0.0,0.0,0.0,4.137719e-12,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
9.5657034e-29,1.1337348e-20,0.0,0.9949556,0.0,0.0050444547,0.0,4.1935603e-28,0.0,0.0,3,cat
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,horse
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
1.0206261e-30,1.0,0.0,0.0,0.0,0.0,2.5456586e-33,0.0,0.0,1.3515121e-37,1,automobile
0.0,0.0,4.5650645e-30,4.980676e-27,0.0,1.0,0.0,0.0,0.0,0.0,5,dog
0.0,1.0,0.0,5.5589456e-37,0.0,1.8695981e-25,0.0,0.0,0.0,0.0,1,automobile
